Dto_Barrio_Entero;Distrito_num;Barrio_num;Barrio_nom;TOTAL;Total_Europa;España;Italia;Francia;ReinoUnido;Rusia;Alemania;Rumanía;Portugal;Ucrania;Polonia;PaísesBajos;Bulgaria;Suecia;Bélgica;Irlanda;Grecia;Suiza;Hungría;Restopaíses_Europa;Total_Africa;Marruecos;Argelia;Senegal;Nigeria;Restopaíses_Africa;Total_America;Colombia;Honduras;Venezuela;Perú;Argentina;Bolivia;Brasil;Ecuador;RepúblicaDominicana;EstadosUnidosdeAmérica;México;Chile;Paraguay;Cuba;ElSalvador;Uruguay;Nicaragua;Restopaíses_America;Total_Asia;Pakistán;China;Filipinas;India;Bangladesh;Georgia;Armenia;Japón;Nepal;Turquía;Irán;Restopaíses_Asia;Oceanía;Apátridas/  Noconsta
8     49. Canyelles;8;49;Canyelles;6813;6480;6364;28;3;3;16;4;25;5;18;1;0;0;0;0;1;0;1;0;11;39;16;4;5;1;13;213;16;59;17;22;13;4;9;26;1;15;5;2;13;4;5;0;1;1;81;18;16;1;1;2;30;3;0;0;2;0;8;0;0
8     50. les Roquetes;8;50;les Roquetes;16563;13074;12432;114;36;22;70;18;150;18;108;29;4;22;3;4;3;2;1;0;38;425;254;19;9;59;84;2292;187;1038;126;164;35;52;112;223;8;112;26;12;80;20;42;20;30;5;771;298;140;14;167;18;48;53;0;12;2;2;17;1;0
8     51. Verdun;8;51;Verdun;12865;10215;9768;116;28;12;46;17;62;31;75;5;8;11;4;3;0;1;3;0;25;252;152;27;5;24;44;1732;164;642;95;146;31;42;134;144;4;135;18;8;59;20;42;15;22;11;666;153;178;58;97;1;60;84;3;2;2;6;22;0;0
8     52. la Prosperitat;8;52;la Prosperitat;26868;22751;22015;184;45;27;70;18;154;32;93;10;7;38;2;1;4;5;4;3;39;352;195;20;25;28;84;2601;290;827;140;251;69;136;183;254;15;136;35;17;70;47;72;23;26;10;1163;219;366;27;144;26;86;227;4;9;1;0;54;0;1
8     53. la Trinitat Nova;8;53;la Trinitat Nova;7628;6026;5758;60;2;6;39;2;40;15;76;1;1;5;2;0;0;1;0;0;18;264;132;15;12;44;61;837;90;215;88;87;14;35;62;79;3;61;9;6;38;6;19;6;17;2;501;222;46;3;56;0;53;107;0;5;0;0;9;0;0
8     54. Torre Baró;8;54;Torre Baró;2923;2425;2322;23;4;4;7;2;11;12;1;7;0;10;0;1;0;0;0;0;21;189;135;4;8;15;27;249;24;64;12;26;4;17;28;25;0;13;7;1;8;5;8;6;1;0;60;29;14;4;1;5;2;0;0;0;0;3;2;0;0
8     55. Ciutat Meridiana;8;55;Ciutat Meridiana;11152;7795;7436;40;4;15;72;6;79;15;77;25;7;7;0;0;0;0;1;1;10;885;461;23;12;194;195;1689;105;704;50;105;20;34;68;246;0;263;10;7;18;12;17;7;13;10;783;560;77;12;52;4;16;28;1;8;2;0;23;0;0
8     56. Vallbona;8;56;Vallbona;1401;1221;1161;13;2;1;13;1;1;6;12;3;1;4;0;0;0;0;0;0;3;41;32;4;1;0;4;78;8;20;3;10;0;4;2;10;0;2;1;1;8;5;2;0;0;2;60;38;13;0;5;0;0;0;0;1;2;0;1;0;1
9     57. la Trinitat Vella;9;57;la Trinitat Vella;10513;7582;7126;82;14;8;45;7;156;9;66;2;14;10;9;3;3;1;2;2;23;805;584;49;18;63;91;976;115;167;37;143;42;54;57;150;2;72;14;7;38;17;31;12;16;2;1149;800;67;19;99;14;86;32;1;5;1;3;22;1;0
9     58. Baró de Viver;9;58;Baró de Viver;2653;2287;2226;13;1;0;12;2;14;5;5;1;3;2;0;0;0;1;0;0;2;119;75;34;4;5;1;138;19;34;12;23;5;2;11;9;1;10;1;0;4;3;0;1;2;1;109;46;29;1;5;3;13;6;1;0;0;0;5;0;0
