COM,LIBCOM,DEC_PIMP19,DEC_TP6019,DEC_Q119,DEC_MED19,DEC_Q319,DEC_EQ19,DEC_D119,DEC_D219,DEC_D319,DEC_D419,DEC_D619,DEC_D719,DEC_D819,DEC_D919,DEC_RD19,DEC_S80S2019,DEC_GI19,DEC_PACT19,DEC_PTSA19,DEC_PCHO19,DEC_PBEN19,DEC_PPEN19,DEC_PAUT19,DEC_NOTE19
93047,Montfermeil,NA,NA,11266.363636363636,18732.727272727272,27232.727272727272,0.9072727272727272,4667.272727272727,9370.90909090909,12707.272727272728,15690.90909090909,21757.272727272728,25281.81818181818,29470.909090909092,36499.09090909091,16.845454545454547,11.590909090909092,0.3674545454545455,74.15454545454546,NA,NA,NA,21.845454545454544,4,0.09090909090909091
93048,Montreuil,NA,NA,10966.585365853658,19869.024390243903,30831.463414634145,1.0153658536585366,4806.09756097561,9147.80487804878,12767.073170731708,16173.658536585366,23761.219512195123,28172.926829268294,33939.51219512195,43291.70731707317,10.760975609756098,11.91219512195122,0.39751219512195124,79.7439024390244,70.91219512195121,4.96829268292683,3.8634146341463413,17.21219512195122,3.0439024390243903,0
93049,Neuilly-Plaisance,NA,NA,17825.555555555555,26464.444444444445,37083.333333333336,0.7455555555555555,10290,15654.444444444445,19671.11111111111,23060,30045.555555555555,34415.555555555555,39944.444444444445,49752.22222222222,5.355555555555555,6.666666666666667,0.329,76.4888888888889,70.87777777777778,2.8777777777777778,2.7333333333333334,19.01111111111111,4.5,0.1111111111111111
93050,Neuilly-sur-Marne,NA,NA,11661.42857142857,18667.85714285714,26918.571428571428,0.84,5870.714285714285,10069.285714285714,13120.714285714286,15882.142857142857,21652.14285714286,24992.85714285714,29162.14285714286,35581.42857142857,7.0285714285714285,8.064285714285715,0.3429285714285714,78.02857142857142,NA,NA,NA,20.114285714285714,1.8571428571428572,0
93051,Noisy-le-Grand,NA,NA,13364,21218,30225,0.8155,7033,11517.5,15076,18130.5,24374,28095,32718.5,40586,6.42,7.595,0.34015,79.81,73.895,3.725,2.19,17.415,2.775,0
93053,Noisy-le-Sec,NA,NA,8728.125,15847.5,24965.625,1.028125,3460,7194.375,10109.375,12868.75,19123.75,22822.5,27467.5,34302.5,12.64375,11.7375,0.3894375,78.95625,71.54375,4.925,2.4875,18.84375,2.2,0
93055,Pantin,54.93888888888889,38.46111111111111,9620.555555555555,17339.444444444445,27421.666666666668,1.0366666666666666,4120.555555555556,7985.555555555556,11137.222222222223,14197.777777777777,20834.444444444445,25106.11111111111,30125,38508.88888888889,10.516666666666667,12.36111111111111,0.39955555555555555,80.90555555555555,72.57222222222222,4.961111111111111,3.3722222222222222,16.694444444444443,2.4,0
93057,Les Pavillons-sous-Bois,63.28888888888889,26.58888888888889,12710,21300,30571.11111111111,0.85,6381.111111111111,10843.333333333334,14472.222222222223,17948.88888888889,24725.555555555555,28426.666666666668,33366.666666666664,41814.444444444445,6.933333333333334,8.8,0.3597777777777778,76.95555555555555,70.12222222222222,3.4444444444444446,3.388888888888889,18.566666666666666,4.477777777777778,0
93059,Pierrefitte-sur-Seine,NA,NA,6936.666666666667,12542.222222222223,19980,1.051111111111111,2778.8888888888887,5748.888888888889,7943.333333333333,10222.222222222223,15238.888888888889,18300,22101.11111111111,27913.333333333332,13.055555555555555,13.433333333333334,0.4008888888888889,79.14444444444445,72.43333333333334,4.722222222222222,1.988888888888889,18.477777777777778,2.3777777777777778,0
93061,Le Pré-Saint-Gervais,61.75714285714285,30.6,11440,20411.428571428572,31498.571428571428,0.9885714285714285,5265.714285714285,9378.57142857143,13054.285714285714,16640,24178.571428571428,28752.85714285714,34812.857142857145,45320,9.057142857142857,11.5,0.4052857142857143,80.18571428571428,70.62857142857143,5.214285714285714,4.3428571428571425,16.257142857142856,3.5571428571428574,0
93062,Le Raincy,73.93333333333334,16.083333333333332,18061.666666666668,29603.333333333332,43435,0.86,8738.333333333334,15328.333333333334,20535,25031.666666666668,34365,40170,47776.666666666664,63418.333333333336,7.383333333333333,9.7,0.3963333333333333,70.56666666666666,61.38333333333333,2.3666666666666667,6.816666666666666,19.65,9.783333333333333,0
93063,Romainville,NA,NA,10417,18558,27788,0.956,4474,8703,12172,15242,21976,25578,30230,38178,9.74,11.14,0.3815,80.17,71.45,5.22,3.5,16.57,3.26,0.1
93064,Rosny-sous-Bois,62.519999999999996,NA,12618.666666666666,20582.666666666668,30037.333333333332,0.868,6060.666666666667,10767.333333333334,14296,17640.666666666668,23968,27739.333333333332,32499.333333333332,40454,7.466666666666667,8.98,0.35433333333333333,78.36,72.19333333333333,3.6866666666666665,2.48,18.8,2.84,0.06666666666666667
