NombreEmpresa,NumExpediente,IdentificacionFiscal,TipoDeContrato,Municipio,Provincia,Pais,DT_RowId
"INICIATIVAS Y EXPOSICIONES, S.A.",23326,A08401895,Servicios,SABADELL,BARCELONA,ESPAÑA,j5lMAW-tCFxM6eow_ROJwg..
"ASIME, S.A",40116,A08413031,Servicios,SABADELL,BARCELONA,ESPAÑA,LaXvGXxHC7HUSAZdhSoVzA..
ILUNION IT SERVICES S.A.,71106,A59843748,Servicios,SABADELL,BARCELONA,ESPAÑA,LALPQ49OUiZt1ORgflD7UQ..
"SOPRA STERIA ESPAÑA, S.A.",54135,A61351276,Servicios,SABADELL,BARCELONA,ESPAÑA,Mo10gWAj6FYmPMX-TWCeRQ..
"ILUNION CEE CONTACT CENTER, S.A.",54038,A61486981,Servicios,SABADELL,BARCELONA,ESPAÑA,kSGhDuSmV3J_khoZ4WLb1w..
"IMPAOR, S.A.",47548,B61142378,Servicios,SABADELL,BARCELONA,ESPAÑA,mVABj-JwE_PYlGm4EO9e1w..
"CENTRO ASISTENCIA TELEFONICA, S.A.",50405,B61142378,Obras,SABADELL,BARCELONA,ESPAÑA,8VyfCiOQV2NxmQogkASNKA..
"CAD & LAN, S.A.",79149,B63856223,Servicios,SABADELL,BARCELONA,ESPAÑA,7mfayqDXv7ULwGSSgP8Ihw..
"CAD & LAN, S.A.",66565,B63934418,Servicios,SABADELL,BARCELONA,ESPAÑA,wLnCpQooNSeFsEbeXjvQmg..
"TECNOLOGIAS Y SERVICIOS AGRARIOS, S.A.",76065,B64012966,Servicios,SABADELL,BARCELONA,ESPAÑA,f22ECrGHDbAhqWjf9JizdA..
"ILUNION LIMPIEZA Y MEDIOAMBIENTE, S.A.",80930,B65144644,Obras,SABADELL,BARCELONA,ESPAÑA,o78DnQFC93EK64hsXYwrvQ..
"COMERCIAL E INDUSTRIAL EUROIBERICA, S.A.",82056,B66691411,Obras,SABADELL,BARCELONA,ESPAÑA,BKPTUMifLISQWrNKGz6CzQ..
"HIDROGESTION, S.A.",48904,A08852774,Servicios,SANT ANDREU DE LA BARCA,BARCELONA,ESPAÑA,SnyjXwy9cHflRs0vVxQjmQ..
"THERMOSOL SAT, S.A.",69728,A61046017,Servicios,SANT ANDREU DE LA BARCA,BARCELONA,ESPAÑA,NOmQdK82mlN1urwypSci0Q..
"INSYTE INSTALACIONES, S.A.",40167,B58259730,Servicios,SANT ANDREU DE LA BARCA,BARCELONA,ESPAÑA,m8np9VrXKJxqO6mnsNy5AA..
"ILUNION CEE LIMPIEZA Y MEDIOAMBIENTE, S.A.",60023,B62492954,Servicios,SANT ANDREU DE LA BARCA,BARCELONA,ESPAÑA,7ec8EDo4xzLcbVQor_ci1Q..
"ACCIONA MANTENIMIENTO DE INFRAESTRUCTURAS, S.A.",59568,B62492954,Obras,SANT ANDREU DE LA BARCA,BARCELONA,ESPAÑA,aRxyYL97LpwW_HiARgFnng..
"ACCIONA MANTENIMIENTO DE INFRAESTRUCTURAS, S.A.",54952,B62745765,Servicios,SANT ANDREU DE LA BARCA,BARCELONA,ESPAÑA,ZiOCq-Py1uP14KoUylMIHw..
"SEGURSERVI, S.A.",79936,B65087926,Servicios,SANT ANDREU DE LA BARCA,BARCELONA,ESPAÑA,-qn8fM18uU12xKBy3I20OQ..
"ASISTENCIA, SEGURIDAD Y SERVICIOS, S.A.",38296,A08215428,Servicios,SANT BOI DE LLOBREGAT,BARCELONA,ESPAÑA,vA5mi6CcKufheIQkCv_CUg..
"ELECNOR SERVICIOS Y PROYECTOS, S.A.",40702,A08935892,Servicios,SANT BOI DE LLOBREGAT,BARCELONA,ESPAÑA,gLqjyVuckNVF-ej_IC9rew..
"ELECNOR SERVICIOS Y PROYECTOS, S.A.",78013,B08622888,Servicios,SANT BOI DE LLOBREGAT,BARCELONA,ESPAÑA,-jNKs_nKYIxZuHioyDa-Jg..
"AGRUPACION GUINOVART OBRAS Y SERVICIOS HISPANIA, S.A.",57705,B47479274,Servicios,SANT BOI DE LLOBREGAT,BARCELONA,ESPAÑA,52SeaZy8EiJx10TrR77_1A..
"AGRUPACION GUINOVART OBRAS Y SERVICIOS HISPANIA, S.A.",79350,B60254984,Servicios,SANT BOI DE LLOBREGAT,BARCELONA,ESPAÑA,ln6JtZ8CLT-UQIMDIbqFcA..
"SOLDENE, S.A.",46246,B61508115,Obras,SANT BOI DE LLOBREGAT,BARCELONA,ESPAÑA,q-0GbYZTKAIMKUUedZVhVg..
"SOLANA E HIJOS ARTES GRAFICAS, S.A.U.",64719,B63410559,Servicios,SANT BOI DE LLOBREGAT,BARCELONA,ESPAÑA,KmGOOoV1voeGXtThGMvXRg..
URBASER SOCIEDAD ANONIMA,79631,B66728965,Servicios,SANT BOI DE LLOBREGAT,BARCELONA,ESPAÑA,B1SZzL0gPYuuUpmqTqs24g..
URBASER SOCIEDAD ANONIMA,79632,B66728965,Obras,SANT BOI DE LLOBREGAT,BARCELONA,ESPAÑA,XxisfSURWLF3xq8ngU5NFg..
"TRANSPORTES EMBALAJES MONTAJES Y ALMACENAJE, S.A.",47110,A58084294,Obras,SANT CEBRIA DE VALLALTA,BARCELONA,ESPAÑA,lyTWhj9kjil2rDWtpkZKnA..
"CONSTRUCCIONES PEREZ EGEA, S.A.",62516,B62438593,Obras,SANT CEBRIA DE VALLALTA,BARCELONA,ESPAÑA,CnA7rOySixukDa0amexyiw..
"GRUPO DE PROYECTOS SOCIALES DE GESTION, S.A.",76771,A63395719,Obras,SANT CELONI,BARCELONA,ESPAÑA,tRfxhVWHvnbvrDHeTv-_jg..
"VIAJES OLYMPIA MADRID, S.A.",76775,A63395719,Servicios,SANT CELONI,BARCELONA,ESPAÑA,sfREsyuraX6IzWy6gVu1GA..
TRADESEGUR S.A.,22085,A08309080,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,S1exZUP2ZY3NbfKeVGqlew..
"DIGITAL VIRGO ESPAÑA, S.A.",38481,A58653676,Obras,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,kalaBaNcn4bODWHaLf8yxw..
"COIVSA CONSERVACION INTEGRAL VIARIA, S.A.",46361,A59425546,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,KnqtF5YABeyJiG9PCqELSA..
"COIVSA CONSERVACION INTEGRAL VIARIA, S.A.",47917,A61895371,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,gUXWFun6ne6LfmQ9bysasQ..
"MAINTENANCE IBERICA, S.A.",58032,A82850611,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,Tc2iPon9f2L810dmRntXvA..
"SOCIBUS, S.A.",81553,B58150152,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,yyWtAf3El6XxAWglGaEIwA..
"GS INIMA ENVIRONMENT,  S.A.",81550,B58150152,Obras,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,X2s2JA8OoROzSGBqX1rg3A..
"GS INIMA ENVIRONMENT,  S.A.",39495,B58319849,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,QeYWDFGYYobYtpGSlFaHig..
"SERVICIOS LOGISTICOS INTEGRADOS SLI, S.A.",42885,B58805904,Obras,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,s51dHHzZLHukhxKzKxy1cg..
"BRIZZOLIS, S.A.",42896,B58805904,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,_2iqYDyzGHwXwF4izBOFuw..
"VIEWNEXT, S.A.",46959,B59096107,Obras,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,OkIVnDZFSJ_qBEowFYhfOQ..
"MANTENIMIENTO DE INFRAESTRUCTURAS, S.A.",48233,B59975953,Obras,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,nBGVTirwhbjFawVflmlU1g..
"MANTENIMIENTO DE INFRAESTRUCTURAS, S.A.",58959,B59975953,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,5dz16oinPRv6NXPGhyinog..
"COMFICA SOLUCIONES INTEGRALES,S.L.",39358,B60650801,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,ayMQjVZo4AKcjdwSWC99rg..
"INGENIERIA Y CONSERVACION, S.A.",40113,B60650801,Obras,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,MPOixRF2tlEXkIfVjiiweQ..
"EXTEL CONTACT CENTER, S.A.",72841,B60900214,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,nPO9lkQLQndP9mMiTLJ6Ug..
"SEÑALIZACIONES Y BALIZAMIENTOS LA CASTELLANA, S.A.",72144,B61579348,Obras,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,UXXlIqtmATS5CCzHCakWEA..
"SEÑALIZACIONES Y BALIZAMIENTOS LA CASTELLANA, S.A.",72394,B61579348,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,lI3MKDCv8EruOnAsB8ojvQ..
"FERROVIAL SERVICIOS, S.A.",78793,B62671284,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,iOeT7jf6hp3oGCRYDauKQA..
"FERROVIAL SERVICIOS, S.A.",75019,B62819792,Obras,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,Ajv6lNuwofBrX1bcO_gP0g..
"CLECE, S.A.",74217,B64780448,Obras,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,Or5PxXYCerXikB-8dPi3ag..
"CLECE, S.A.",74223,B64780448,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,0ZMK2kvBBy0Nzp2mq-5x0Q..
TRENASA SA,81617,B65284390,Obras,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,3X-4HEbahjsggl6LzFoHLQ..
TRENASA SA,77862,B65344160,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,qq9SDjrRVmPTZhbFoFj8AQ..
"TRABAJOS DE MOVILIDAD, S.A.",74873,B65918146,Obras,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,VjYJAp9UsYXL01WD5ugRXQ..
"TRABAJOS DE MOVILIDAD, S.A.",76538,B66068081,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,e98pF-I95HVi28IzuoADVA..
"PALGRAPHIC, S.A.",80333,B67037168,Obras,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,GRSZN06HMwJrOLnR9akq8w..
"EVOLUTIO CLOUD ENABLER, S.A.",68593,B79896965,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,0dLlCOvagDXr8cYDtnoxWw..
"NORMADAT, S.A.",60232,B82080177,Servicios,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,zhfoJ9DcOlJO1PQUbR3CeQ..
"SERVICIOS DE TELEASISTENCIA, S.A.",75018,B82540535,Obras,SANT CUGAT DEL VALLES,BARCELONA,ESPAÑA,X57r6ydDfkRCeB_4D9Iytw..
"FLOMEYCA, S.A.",9154,A08948952,Obras,SANT ESTEVE SESROVIRES,BARCELONA,ESPAÑA,YeZKcA4xsxY7viS99HjfPQ..
"GAROTECNIA, S.A.",50602,A60624608,Obras,SANT ESTEVE SESROVIRES,BARCELONA,ESPAÑA,d7TJLp71A9dOUTZtdwrEaw..
"GAROTECNIA, S.A.",80450,B64624711,Servicios,SANT ESTEVE SESROVIRES,BARCELONA,ESPAÑA,5JJ1UD45gGhKpXQbmE-a7g..
"NUEVO SIGLO SERVICIOS E INSTALACIONES, S.A.",43174,A08161481,Servicios,SANT FELIU DE LLOBREGAT,BARCELONA,ESPAÑA,JxQMh3EDNj_rK8By7Rm-Qg..
"EPICOM, S.A.",21202,B08672321,Servicios,SANT FELIU DE LLOBREGAT,BARCELONA,ESPAÑA,LC0pqCo6wC_Xjjl0t-O_3A..
"ARENA MEDIA COMMUNICATIONS ESPAÑA, S.A.",48877,B60793932,Obras,SANT FELIU DE LLOBREGAT,BARCELONA,ESPAÑA,P-RzdNug5-VnKWrWqOi6ig..
"TELEFONICA SERVICIOS AUDIOVISUALES, S.A.",61229,B61528956,Obras,SANT FELIU DE LLOBREGAT,BARCELONA,ESPAÑA,z9FzoSWpEdt9rMyEuiw0eQ..
"SISTEMAS DE GESTION SANITARIA, S.A.",76652,B61528956,Servicios,SANT FELIU DE LLOBREGAT,BARCELONA,ESPAÑA,NEiVwl9ESQLYEB4gPRGpFg..
"SAIMA SEGURIDAD, S. A.",80912,B65866006,Obras,SANT FELIU DE LLOBREGAT,BARCELONA,ESPAÑA,KzCGP8vfDhST-mYQxGQvyA..
"SAIMA SEGURIDAD, S. A.",81483,B67452946,Obras,SANT FELIU DE LLOBREGAT,BARCELONA,ESPAÑA,QD8X16aUDmneUn2lk6K8ow..
"HOCENSA EMPRESA CONSTRUCTORA, S.A.",78155,A08449399,Obras,SANT FOST CAMPSENTELLES,BARCELONA,ESPAÑA,Z9GcB2Az49SuTtgdxinBiw..
"HOCENSA EMPRESA CONSTRUCTORA, S.A.",4632,A08617953,Obras,SANT JOAN DESPI,BARCELONA,ESPAÑA,LoZuL7gHPW7jcyS8oXYJPQ..
"TPI EDITA, S.A.",53919,A59345702,Servicios,SANT JOAN DESPI,BARCELONA,ESPAÑA,6F5EH1ziNm5PWSAkxyG7ew..
"HONEYWELL - TECNOLOGIA Y SEGURIDAD, S.A.",41561,A59345702,Obras,SANT JOAN DESPI,BARCELONA,ESPAÑA,e-rVQdXju3fxMkQMDqBpFw..
ACUNTIA SAU,46319,B61246104,Servicios,SANT JOAN DESPÍ,BARCELONA,ESPAÑA,xhxMOQxIKXtDzJapBxzdLA..
"CYOPSA SISOCIA, S.A.",71637,A62177027,Servicios,SANT JUST DESVERN,BARCELONA,ESPAÑA,sQhwtj4xJXKR1X5Qd9QaPw..
"CYOPSA SISOCIA, S.A.",77463,B58062027,Servicios,SANT JUST DESVERN,BARCELONA,ESPAÑA,UVJUZPe_5o090sj-uG0y1A..
"PRODETEL, S.A.",80853,B60586005,Obras,SANT JUST DESVERN,BARCELONA,ESPAÑA,ZJ07YPtR17oMdQKh56GSjQ..
AVALORA TECNOLOGIAS DE LA INFORMACION,73640,B65449183,Obras,SANT JUST DESVERN,BARCELONA,ESPAÑA,OFUntYhmPU1eFcQ0pg40pg..
"SPV SISTEMAS, S.A.",44975,A58768946,Obras,SANT MARTI SESGUEIOLES,BARCELONA,ESPAÑA,FDPrOvjaDlGzkwOWkIdR6A..
"SPV SISTEMAS, S.A.",79721,A58093816,Servicios,SANT QUIRZE DEL VALLES,BARCELONA,ESPAÑA,1hFP2H1zPsOUclhqU1pOTg..
"HARDWARE & PARTS, S.A.",39265,B58552712,Servicios,SANT QUIRZE DEL VALLES,BARCELONA,ESPAÑA,zJZMc39pnweGZ0n0ncHKwA..
"K INFOTEC SISTEMAS, S.A.",49249,B61023636,Servicios,SANT QUIRZE DEL VALLES,BARCELONA,ESPAÑA,8coQbTmpaH5k2UgSWpL8JQ..
"MEDIACOM IBERIA, S.A.",78111,B61023636,Obras,SANT QUIRZE DEL VALLES,BARCELONA,ESPAÑA,eSVrvia59ZEgUcScuRh8Qw..
"ALMA TECHNOLOGIES, S.A.",70957,B62658992,Servicios,SANT QUIRZE DEL VALLES,BARCELONA,ESPAÑA,JybtSscAQRxZFaDJgcvohw..
"APLICACIONES Y TRATAMIENTOS DE SISTEMAS, S.A.",80227,B62945365,Obras,SANT QUIRZE DEL VALLES,BARCELONA,ESPAÑA,LdMMfFW0E6FfR5O7eIYCFw..
"GRUPO DE INGENIERIA, RECONSTRUCCION Y RECAMBIOS JPG, S.A.",63297,B62945365,Servicios,SANT QUIRZE DEL VALLES,BARCELONA,ESPAÑA,tVB28HKFzl-kEGkgLXA2PQ..
"HIDRAULICA CONSTRUCCION Y CONSERVACION, S.A.",78351,B66033150,Servicios,SANT SADURNI D`ANOIA,BARCELONA,ESPAÑA,KvGOcuDKt-Bxknd943bwQA..
"TRANSLIMP CONTRACT SERVICES, S.A.",6462,A08743098,Obras,SANT VICENÇ DELS HORTS,BARCELONA,ESPAÑA,9A_fgdUdvnLwzVXr739VTg..
"UNIVERSITAS XXI SOLUCIONES Y TECNOLOGIA PARA LA UNIVERSIDAD, S.A.",74095,A08743098,Servicios,SANT VICENÇ DELS HORTS,BARCELONA,ESPAÑA,OtUhteJDQhxLKKqLborg9A..
"TECOLOGIC, S.A.",46067,B58441585,Obras,SANT VICENÇ DELS HORTS,BARCELONA,ESPAÑA,zwBiJsfIlUU7ad4z2aLJqQ..
"VODAFONE ESPAÑA, S.A.",61979,B58441585,Servicios,SANT VICENÇ DELS HORTS,BARCELONA,ESPAÑA,tvfqh4Q1gJjGiSYPNv--Hw..
"MENSYTRANS, S.A.",79265,B62078431,Obras,SANT VICENÇ DELS HORTS,BARCELONA,ESPAÑA,RMONCEyd_b0V0D-RKWE7Hg..
PAP TECNOS INNOVACION SAU,69501,G61224986,Servicios,SANT VICENÇ DELS HORTS,BARCELONA,ESPAÑA,Lukga9b7QNsG_dxErRH9Og..
"CONTRATAS Y SERVICIOS COSERSA, S.A.",26353,A08331290,Servicios,SANTA COLOMA DE CERVELLO,BARCELONA,ESPAÑA,s8Wp_qebTxVCqKMo3lzvTA..
"CONTRATAS Y SERVICIOS COSERSA, S.A.",8093,A08513749,Obras,SANTA PERPETUA DE MOGODA,BARCELONA,ESPAÑA,hAUTQuPWjDz1p0P47rx9Yg..
"MANTENIMIENTO INTEGRAL DE EDIFICIOS, MAINED, S.A.",60943,A08513749,Servicios,SANTA PERPETUA DE MOGODA,BARCELONA,ESPAÑA,7OJTyZjdZ1H6Ic00escOmA..
"TECNICA AUXILIAR DE GESTION EMPRESARIAL, S.A.",45302,B59776336,Obras,SANTA PERPETUA DE MOGODA,BARCELONA,ESPAÑA,HM_WXNPcgw_PxHzSF7KSuA..
"UNION CASTELLANA DE ALIMENTACION, UCALSA, S.A.",8107,A08730202,Obras,SANTPEDOR,BARCELONA,ESPAÑA,FUcQejmcKwOlZv7COMZYPw..
"CONSERVACION Y SISTEMAS, S.A.",9694,A08875833,Obras,SANTPEDOR,BARCELONA,ESPAÑA,-VV6PVDEf_GZ5mTOVHr8Ag..
"STOCK CERO, S.A.",82012,B63491104,Obras,SENTMENAT,BARCELONA,ESPAÑA,nO0nQbX8XYkTYRFfnNr2vA..
"CONSTRUCCIONES Y OBRAS ANKARSA, S.A.",7482,A08867228,Obras,SUBIRATS,BARCELONA,ESPAÑA,ENiv_lOewV8Uz3d6M7rfag..
"CONSTRUCCIONES Y OBRAS ANKARSA, S.A.",33807,A08015570,Obras,TERRASSA,BARCELONA,ESPAÑA,SucleBF6cA73xBTDPtKz5g..
"FM & VARGAS, S.A.",49113,A08015570,Servicios,TERRASSA,BARCELONA,ESPAÑA,6qyirNeQ3-SLvTDASqj5Pw..
"FM & VARGAS, S.A.",2685,A08190696,Obras,TERRASSA,BARCELONA,ESPAÑA,JbYdWH7E7NfOZiqpwFe0MA..
"ECOASFALT, S.A.",42660,A08190696,Servicios,TERRASSA,BARCELONA,ESPAÑA,K-N_kvWXO5pj6CTUYif6zw..
"ECOASFALT, S.A.",81771,A08348039,Servicios,TERRASSA,BARCELONA,ESPAÑA,ok5ZO3CkLVxLIlCJW_tVsg..
"COMPUTERS & COMMUNICATIONS AEROMARINE, S.A.",5741,A08348039,Obras,TERRASSA,BARCELONA,ESPAÑA,M7W3xkX6ZSgdz2t7hc18Nw..
"EUROP ASSISTANCE SERVICIOS INTEGRALES DE GESTION, S.A.",21598,A08754335,Servicios,TERRASSA,BARCELONA,ESPAÑA,0bMcyiIELDzlyvtCHzEmbA..
GROW COMUNICACION SA,41710,A08983538,Servicios,TERRASSA,BARCELONA,ESPAÑA,omG0rf4tyEo9TxLh36Om6w..
HISPANAGUA SAU,74815,A58100793,Obras,TERRASSA,BARCELONA,ESPAÑA,hYGfeLJV7ETdtH7JChXyNw..
HISPANAGUA SAU,35348,A59906479,Servicios,TERRASSA,BARCELONA,ESPAÑA,ZB9CgiLesa0CJ9vfHN0xiQ..
"SIADDE SOLUCIONES, S.A.",44925,A60930344,Obras,TERRASSA,BARCELONA,ESPAÑA,555h0Nd4Otl5sMvLDL6tow..
"SIADDE SOLUCIONES, S.A.",75863,B08923963,Servicios,TERRASSA,BARCELONA,ESPAÑA,DLjRcnugjt0kUiSBAH-d7g..
"BROAD TELECOM, S.A.",77015,B63225254,Servicios,TERRASSA,BARCELONA,ESPAÑA,9DxvkBpoB5GEIEA_AjFCiw..
"BROAD TELECOM, S.A.",73963,B63339998,Servicios,TERRASSA,BARCELONA,ESPAÑA,KDM5a6VxmLShnCJPgyJadg..
"ESET SERVICIOS AUXILIARES, S.A.",56212,B63371793,Servicios,TERRASSA,BARCELONA,ESPAÑA,zeeOLsqx107LCokMPqkRZg..
"ASFALTOS BITUMINOSOS, S.A.",64798,B64143639,Obras,TERRASSA,BARCELONA,ESPAÑA,_dQQpZqZrlq4cqE1FBMavQ..
"PORTEL LOGISTIC TECHNOLOGIES, S. A.",70138,B64455835,Servicios,TERRASSA,BARCELONA,ESPAÑA,WrYtHMKWDYMNThHuMkEuIQ..
"CIBELES MAILING, S.A.",62405,B64455835,Obras,TERRASSA,BARCELONA,ESPAÑA,HGo5QRBpjRYuu1adfziSOQ..
"ARIETE SEGURIDAD, S.A.",68269,B64684038,Servicios,TERRASSA,BARCELONA,ESPAÑA,rcyXhji5A287L2BPH_3Iig..
"EUROPEA DE HINCAS TELEDIRIGIDAS, S.A.",81549,B66039199,Obras,TERRASSA,BARCELONA,ESPAÑA,VY_A91USbszYef53FAbzNw..
"ASCI DIRECT, S.A.",76307,B66045196,Obras,TERRASSA,BARCELONA,ESPAÑA,w6_Fofuwu5ghJUQBG1pA1A..
"ACIVESA CLIMATIZACION, S.A.",79988,B66533456,Servicios,TERRASSA,BARCELONA,ESPAÑA,teA_WzxEnhy6pvs_4MH_sg..
"MOLGAS ENERGIA, S.A.",78860,B66533456,Obras,TERRASSA,BARCELONA,ESPAÑA,TGWvDj7Gy2F3BH-quE2C0g..
"OTS MEDIA, S.A.",58253,B80967284,Servicios,TERRASSA,BARCELONA,ESPAÑA,NG22-qNCC8BpdalEFkLLHw..
"TEMPOPLAN, S.A.",45588,B58257429,Servicios,TONA,BARCELONA,ESPAÑA,2V6PXgevUx99ZwcP3Xvd0A..
"S.A. DE GESTION DE SERVICIOS Y CONSERVACION, GESECO",35495,B58257429,Obras,TONA,BARCELONA,ESPAÑA,mfBRIUasPshGNemX0p5M-A..
"S.A. DE GESTION DE SERVICIOS Y CONSERVACION, GESECO",34832,A59740217,Obras,TORDERA,BARCELONA,ESPAÑA,DEHiq4fpZAXzpa6BAPIBHQ..
"COMPAÑIA EUROPEA DE VIAJEROS ESPAÑA, S.A.",62301,B63024731,Servicios,TORDERA,BARCELONA,ESPAÑA,hLQr1UMvm0_sBwG_uZEVHw..
"CLIMATIZACION INTEGRAL DE EDIFICIOS, S.A.",70257,B64326374,Obras,TORDERA,BARCELONA,ESPAÑA,Pjy7WqOpuuFFy2x7flvsmA..
"T-SYSTEMS ITC IBERIA, S.A.",55262,B61733952,Obras,TORELLO,BARCELONA,ESPAÑA,yMjrPKNpNeLiSzbugJamWw..
"COLT TECHNOLOGY SERVICES, S.A.",79227,B65758641,Obras,TORELLO,BARCELONA,ESPAÑA,3fBK5BoryfbTGlrSygMTtg..
"OBRAS Y SERVICIOS TAGA, S.A.",46631,B58640756,Obras,TORRELLES DE LLOBREGAT,BARCELONA,ESPAÑA,AkitBpBqz4xvd7VlTISaqg..
"OBRAS Y SERVICIOS TAGA, S.A.",66063,B58640756,Servicios,TORRELLES DE LLOBREGAT,BARCELONA,ESPAÑA,BTiGpEigMyTYJElhz1HfKQ..
"ACCIONA CONSTRUCCION, S.A.",32943,A08076218,Servicios,VIC,BARCELONA,ESPAÑA,Yw7AuriD6olD4mglmyzFoQ..
"ACCIONA CONSTRUCCION, S.A.",33210,A08757304,Obras,VIC,BARCELONA,ESPAÑA,iIyslPVPPW3cq1PIRKN0yg..
"IRE RAYOS X, S.A.",74352,A08757304,Servicios,VIC,BARCELONA,ESPAÑA,36jiPpTejI08GQPwg7M1KA..
"MULTISERVICIOS TECNOLOGICOS, S.A.",38019,A08968109,Servicios,VIC,BARCELONA,ESPAÑA,1hgYXyLKxylgoLxLy2CWPA..
"MULTISERVICIOS TECNOLOGICOS, S.A.",71057,A59160366,Servicios,VIC,BARCELONA,ESPAÑA,d46gJaPW4bEgzZR-I9cNZQ..
"ILUNION TECNOLOGIA Y ACCESIBILIDAD, S.A.",74343,B60063807,Servicios,VIC,BARCELONA,ESPAÑA,8iK_XysHR8cMKhgrfYc8kA..
"GRUPO EUROPEO DE SERVICIOS DOAL, S.A.",79381,B60063807,Obras,VIC,BARCELONA,ESPAÑA,WT-N_6aqArsq-O90m5fCdg..
"SRH CONSTRUCCIONES CIVILES Y ADMINISTRATIVAS, S.A.",49700,B62314547,Obras,VIC,BARCELONA,ESPAÑA,7Ht0-_uSrm2MJ1XhdS9RHw..
"INYMA, CONSTRUCCIONES Y PROYECTOS. S.A.",81011,B62376306,Obras,VIC,BARCELONA,ESPAÑA,_IumXqODJK8XpG7SBPdPOQ..
"AREA2 INSTALACIONES ELECTRICAS Y MECANICAS, S.A.",81012,B62376306,Servicios,VIC,BARCELONA,ESPAÑA,TJlxvtLoUr9eviNIHZ8Trw..
"NEXUS INFORMATION TECHNOLOGY, S.A.",78801,B64431422,Obras,VIC,BARCELONA,ESPAÑA,eYIti_s6irXU3ZuYpLXgdQ..
"GESTION GENERAL DE ELECTRICIDAD, S.A.",42733,B08606055,Servicios,VILADECANS,BARCELONA,ESPAÑA,sOk3x-8W3kDTVrR7PHpXQA..
"GESTION GENERAL DE ELECTRICIDAD, S.A.",43824,B08606055,Obras,VILADECANS,BARCELONA,ESPAÑA,2i353RuxRzL140wPFnmYXQ..
"COBRA SERVICIOS AUXILIARES, S. A.",69029,B08919482,Servicios,VILADECANS,BARCELONA,ESPAÑA,BXgReX8vv9gB4n3Tt_IniQ..
"URBANIZADORA CONSTRUCTORA I.C.E., S.A.",67686,B58658477,Obras,VILADECANS,BARCELONA,ESPAÑA,IIF3w2d5GRVcroIx5j36kg..
"PSH ENERGIA, S.A.",67687,B58658477,Servicios,VILADECANS,BARCELONA,ESPAÑA,eZFSUbKthTmH4m7iJtzZKA..
"PSH ENERGIA, S.A.",79853,B62891304,Servicios,VILADECANS,BARCELONA,ESPAÑA,ZrNmQrLlyrrphHxnxvUXLA..
"VIAJES PRESSTOUR ESPAÑA, S.A.",59703,B58585613,Obras,VILAFRANCA DEL PENEDES,BARCELONA,ESPAÑA,b5WsIcgdR5vmWc-ud_XTuQ..
"TECNOLOGIAS DE LA INFORMACION Y REDES PARA LAS ENTIDADES ASEGURADORAS, S.A.",63886,B58585613,Servicios,VILAFRANCA DEL PENEDES,BARCELONA,ESPAÑA,VPojf0wPnajb1jV62LzA-A..
"CONSTRUCCIONES RUESMA, S.A.",81077,B67519405,Obras,VILALBA SASSERRA,BARCELONA,ESPAÑA,kC6iwGTwe6MjW0scC2AZhg..
"KARDEX SISTEMAS, S.A.",81078,B67519405,Servicios,VILALBA SASSERRA,BARCELONA,ESPAÑA,ywtHsRtsanBr_Zxpd8cv-g..
"FERROVIAL CONSERVACION, S.A.",39147,A08722159,Obras,VILANOVA DEL VALLES,BARCELONA,ESPAÑA,MZU-UnklPcSBdoMlNe0-nw..
"SERVICIOS AUXILIARES DE GESTION DE NEGOCIOS, S.A.",67250,A08722159,Servicios,VILANOVA DEL VALLES,BARCELONA,ESPAÑA,Pbpf9TTPAVhyetZeWIS8Bg..
