NombreEmpresa,NumExpediente,IdentificacionFiscal,TipoDeContrato,Municipio,Provincia,Pais,DT_RowId
"MANTENIMIENTOS TERRESTRES, S.L.",49146,A82413113,Servicios,MADRID,MADRID,ESPAÑA,TNZsJO0USK7VodySh2uFMA..
"EL PASICO BUS, S.L.",62634,A82419748,Servicios,MADRID,MADRID,ESPAÑA,jnKTJaLtuAfXEIN2TstTHQ..
"ORGANIZACION EMPRESARIAL DEL LEVANTE, S.L.",50505,A82578550,Servicios,MADRID,MADRID,ESPAÑA,9UfG2zJCmyFF43im-ZWspg..
"SINBORIA, S.A.",58739,A82615972,Servicios,MADRID,MADRID,ESPAÑA,zVaVuZqZaqvbUD_2Koaq_Q..
"RIEGOS MURCIA, S.L.",55069,A82724089,Servicios,MADRID,MADRID,ESPAÑA,U-JQLHyX8A0_fmcLY7DkBA..
"ICUELECTRIC, S.L.",56609,A82734377,Servicios,MADRID,MADRID,ESPAÑA,RNzp3_8dQGypP2VHWvkNdw..
"ICUELECTRIC, S.L.",67765,A82734377,Obras,MADRID,MADRID,ESPAÑA,BjUoFuT2HA1Tep_Lxaaksw..
"URSA INFRAESTRUCTURAS, S.L.",56071,A82741067,Servicios,MADRID,MADRID,ESPAÑA,JhG3PZiZXLgaHZoMHGGN_g..
"ELECTRICIDAD BOLEA, S.L.",56073,A82741067,Obras,MADRID,MADRID,ESPAÑA,Uju5JdaLFUafYq_MqEXLcQ..
"ELECTRICIDAD BOLEA, S.L.",81178,A82876905,Obras,MADRID,MADRID,ESPAÑA,HQ2ObWCadO7y9pNBkAQK9Q..
"AFESPORT CARTAGENA 2007, S.L.",81189,A82876905,Servicios,MADRID,MADRID,ESPAÑA,aapTKzxhiqidz9EccrQbdQ..
"AFESPORT CARTAGENA 2007, S.L.",65827,A82904574,Servicios,MADRID,MADRID,ESPAÑA,UvPjL3asJG_CQxYc9KX2Kw..
"AUTOBUSES GURREA HERMANOS, S.L.",57765,A82921388,Servicios,MADRID,MADRID,ESPAÑA,SNJgqjXjoPf4G2MzOWuUqg..
"MURO - LEON, S.L.",80153,A82953795,Servicios,MADRID,MADRID,ESPAÑA,K67kyEMRcfd1orMInbg0bQ..
"CONSTRUCCIONES LEACHE, S.L,",80112,A82953795,Obras,MADRID,MADRID,ESPAÑA,x6k_CrBTU0bb1xRs5XqNvg..
"EXCAVACIONES Y TRANSPORTES ORSA, S.L.",55499,A82958075,Servicios,MADRID,MADRID,ESPAÑA,sjLCbBxr-tr2-4YOF3uX0w..
"EXCAVACIONES Y TRANSPORTES ORSA, S.L.",55921,A82998139,Servicios,MADRID,MADRID,ESPAÑA,l10En1SesxUjIZkNnMjGCw..
"CONSTRUCCIONES HERMANOS GARBAYO CHIVITE, S.L.",71671,A83048363,Servicios,MADRID,MADRID,ESPAÑA,Q58_m-tp1y1lZA3qSqBEbA..
"LA VIANESA, S.L.",50356,A83052407,Servicios,MADRID,MADRID,ESPAÑA,X-fPE271xu6T_4IvRVkyTA..
"TALLUNCE, S.L.",53991,A83065128,Servicios,MADRID,MADRID,ESPAÑA,XBfdYS0ea1nBxHTO2MlIAw..
"UNION DE MONTADORES ELECTRICOS DE NAVARRA, S.L.",53730,A83140012,Servicios,MADRID,MADRID,ESPAÑA,oQ6v5Qu8xoatFVk-szZp2A..
"UNION DE MONTADORES ELECTRICOS DE NAVARRA, S.L.",74418,A83162271,Servicios,MADRID,MADRID,ESPAÑA,HDpj3QQ7OtlLOttZchtrYQ..
"RIO VALLE CONSTRUCCION Y OBRA PUBLICA, S.L.",55785,A83208215,Servicios,MADRID,MADRID,ESPAÑA,FpLg44O3wrJRP2ZBEtnyFw..
"RIO VALLE CONSTRUCCION Y OBRA PUBLICA, S.L.",58517,A83241141,Servicios,MADRID,MADRID,ESPAÑA,z-4QQjJHf3UdAPPdl8gayQ..
"CONSTRUCCIONES MARIEZCURRENA, S.L.",74439,A83257121,Servicios,MADRID,MADRID,ESPAÑA,NSopU42C8bM7qUjgObGbuQ..
"CONSTRUCCIONES MARIEZCURRENA, S.L.",71306,A83283861,Servicios,MADRID,MADRID,ESPAÑA,yw70XTiU3hznASkUVDPqnQ..
"CONSTRUCCIONES GARNICA Y CORTES, S.L.",55530,A83283861,Obras,MADRID,MADRID,ESPAÑA,YFLwSc42eb3UatF1GJTCkw..
"SISTELEC SOLUCIONES DE TELECOMUNICACION, S.L.",53153,A83295485,Servicios,MADRID,MADRID,ESPAÑA,qI_92Sd-5NoyMffUXvC7lA..
"ADANIA RESIDENCIAL, S.L.",53548,A83389643,Servicios,MADRID,MADRID,ESPAÑA,GxWzqk6ezpxuq4SLMw69Mw..
"EL DORRE, S.L.",58034,A83452516,Obras,MADRID,MADRID,ESPAÑA,sgKYFoWWelpLv5SaBEocYA..
"EXCAVACIONES ARIBEL, S.L.",55267,A83456202,Servicios,MADRID,MADRID,ESPAÑA,4C0xp7otmJPsirtTUvLvKg..
ANTENAS SINKAL SL,58203,A83490003,Obras,MADRID,MADRID,ESPAÑA,9iZuL_EJzyxIYt2ZS7BSUA..
"SIGNOS VIALES, S.L.",72057,A83501510,Obras,MADRID,MADRID,ESPAÑA,BuV6FQbCfr0b81rNjrH89Q..
"CONSTRUCCIONES ECAY, S.L.",54970,A83637074,Servicios,MADRID,MADRID,ESPAÑA,Oyhq_Zr86wbLrRCpyuOFtw..
"AUTOBUSES PARRA, S.L.",59457,A83637074,Obras,MADRID,MADRID,ESPAÑA,hCPqQTF9VAWdJH1GCM2Pww..
"COMPACTACIONES Y NIVELACIONES PARDO, S.L.",61400,A83647024,Servicios,MADRID,MADRID,ESPAÑA,FR9SWJwuut8RqxDwqt0IVA..
"EXCAVACIONES FERMIN OSES, S.L.",62264,A83647024,Obras,MADRID,MADRID,ESPAÑA,2TYji62ds7qEkMtEsq69bw..
"SEDENA, S.L.",55804,A83709873,Servicios,MADRID,MADRID,ESPAÑA,CUkfUTPeHFV8ywbfGkbWgQ..
"CONSTRUCCIONES Y EXCAVACIONES ERRIBERRI, S.L.",62776,A83729384,Servicios,MADRID,MADRID,ESPAÑA,ne2BenwcrBkVjgvHrZCnjQ..
"CONSTRUCCIONES Y EXCAVACIONES ERRIBERRI, S.L.",61729,A83844159,Servicios,MADRID,MADRID,ESPAÑA,EEeeAJKopZjf3XUEAeGdqQ..
"CUSTAR, S.L.",67280,A84039338,Servicios,MADRID,MADRID,ESPAÑA,r6IeOgynaaV0KokBXHqzMQ..
"FALCES AUTOBUSES SANCHEZ, S.L.",65042,A84076397,Servicios,MADRID,MADRID,ESPAÑA,9V2Wql36OIq_fIF5UthYEQ..
"GRUPO INDUSTRIAL DE MANTENIMIENTO AVANZADO DE NAVARRA, S.L.",57840,A84098219,Obras,MADRID,MADRID,ESPAÑA,M1_wKeb5ew4KR7lYRr1OYQ..
OBRAS Y DESMONTES DE NAVARRA S.L.,78218,A84098219,Servicios,MADRID,MADRID,ESPAÑA,NAZNyjmTnHZU0ptpDtztqw..
OBRAS Y DESMONTES DE NAVARRA S.L.,66715,A84104272,Servicios,MADRID,MADRID,ESPAÑA,vRr5kbjTR5QGsMQ5NgFHxg..
"SASOI ERAIKUNTZAK, S.L.",61857,A84117241,Obras,MADRID,MADRID,ESPAÑA,WTXCf-w2HjNIswjKSTI_bA..
"FLORENCIO SUESCUN CONSTRUCCIONES, S.L.",81823,A84158625,Obras,MADRID,MADRID,ESPAÑA,IKQZ0wyVqw_GjLepmNHjMA..
"NUEVO SISTEMA MODULAR, S.L.",81826,A84158625,Servicios,MADRID,MADRID,ESPAÑA,0u0MSeaVKAb_It1eYD8sAQ..
"FONSECA BUS, S.L.",76246,A84192038,Servicios,MADRID,MADRID,ESPAÑA,XuBgwJ6DmB6J9f4vGtVcdw..
"AUTOBUSES LATASA, S.L.",70559,A84329382,Servicios,MADRID,MADRID,ESPAÑA,jPEHApJaW6jEAmmwNnvdEw..
"ULZAMA DIGITAL, S.L.",68339,A84395839,Servicios,MADRID,MADRID,ESPAÑA,LtJtAqe-dmcr0JrknuUUCA..
"MALDADIA, S.L.",79892,A84395839,Obras,MADRID,MADRID,ESPAÑA,U0d3QnPyP2-OQhdX7nCh1w..
"ATE & COMPACTADOS, S.L.",61684,A84465749,Obras,MADRID,MADRID,ESPAÑA,ZBRcjcat4p-8avYeXopjxA..
CONSTRUCCIONES JOSE FELIX CALVO S.L.,68803,A84465749,Servicios,MADRID,MADRID,ESPAÑA,AlKmBVwFGTaXvDM6fj2d2A..
"OBRAS Y SERVICIOS CARCABA, S.L.",78272,A84486018,Servicios,MADRID,MADRID,ESPAÑA,C4VsP0Qw7I0QX7mN9VMVbg..
"CONSTRUCCIONES MARTINEZ SANCHEZ CINTRUENIGO, S.L.",62190,A84523505,Servicios,MADRID,MADRID,ESPAÑA,3xVx3mALOhfCDFWdkEEpCg..
"INAMAN MANTENIMIENTO Y SERVICIOS, S.L.",71110,A84684406,Obras,MADRID,MADRID,ESPAÑA,ATdf66FQRd2xDcSpoC_5rw..
"VDR MUTILVA, S.L.",74910,A84684406,Servicios,MADRID,MADRID,ESPAÑA,6SZtgA4DoZQ1veAHBiNAMw..
"RIOS RENOVABLES, S.L.",60724,A84809953,Servicios,MADRID,MADRID,ESPAÑA,MVIktWmdJfJFSA9jdvumSQ..
"RIOS RENOVABLES, S.L.",60713,A84809953,Obras,MADRID,MADRID,ESPAÑA,XCYo7cQSGorSahaH55F0EQ..
"RIEGOS ALFONSO MARTINEZ, S.L.",69294,A84842079,Servicios,MADRID,MADRID,ESPAÑA,poBmgrM2UFiIierIuaAylQ..
"NAVARRA DE JARDINERIA Y RIEGOS, S.L.",60973,A84864941,Servicios,MADRID,MADRID,ESPAÑA,4BHWL2tSIm2mBQI-JiY4-A..
"NAVARRA DE JARDINERIA Y RIEGOS, S.L.",60977,A84864941,Obras,MADRID,MADRID,ESPAÑA,CSNrseMqec2Jp19eDidAlw..
"CONSTRUCCIONES BALMI 21, S.L.",74013,A84916287,Servicios,MADRID,MADRID,ESPAÑA,G2PI6ZhsadNdic7Q-dvu5g..
"CONSTRUCCIONES Y OBRAS VICTORINO VICENTE, S.L.",68187,A85040228,Obras,MADRID,MADRID,ESPAÑA,oB3XkEXd36vcD-CxJ7hJ6g..
"CALIDAD, ORGANIZACION Y VIVIENDA, S.L.",72677,A85040228,Servicios,MADRID,MADRID,ESPAÑA,bz3_fBbx3sDhDo7bzZ1Mxw..
"ADISGRUP CLIMATIZACIONES MECANICAS ELECTRICAS, S.L.",70935,A85058618,Servicios,MADRID,MADRID,ESPAÑA,KFFTNnz-ZzXxveE1jH2UjQ..
"PAGOA SERVICIOS MEDIOAMBIENTALES, S.L.",62767,A85058618,Obras,MADRID,MADRID,ESPAÑA,QmIAufpFrU03-dIhs0j52g..
"CONSTRUCCIONES ALEA, S.L.",65792,A85085306,Servicios,MADRID,MADRID,ESPAÑA,AOLeeoj0s0Cjm64UznBuUQ..
"ROFERLO, S.L.",66099,A85110294,Servicios,MADRID,MADRID,ESPAÑA,OXv19Jbbs3Wmjj1cIGNARQ..
ESTEVEZ CONDUCTOS SUBTERRANEOS S.L.,68168,A85110294,Obras,MADRID,MADRID,ESPAÑA,kcQDxFmLI7Unc8-SIA99SQ..
ESTEVEZ CONDUCTOS SUBTERRANEOS S.L.,64268,A85119295,Servicios,MADRID,MADRID,ESPAÑA,26C7g-ibN5FZQIE7eraX3g..
"SOCIEDAD DE TRANSPORTES,S.L.",66541,A85508299,Servicios,MADRID,MADRID,ESPAÑA,LNo475-aNJ_tQwwJ5Wimmw..
"EMPRESA GAVILANES, S.L.",64115,A85563450,Servicios,MADRID,MADRID,ESPAÑA,PZkm-v5jVK1AqwwU4Are5Q..
"AUTOS GONZALEZ, S.L.",64083,A85563450,Obras,MADRID,MADRID,ESPAÑA,fnJ4AkdAZI_csRLz7pN7zg..
"AUTOCARES RODRIGUEZ CARBALLIÑO, S.L.",73400,A85570844,Servicios,MADRID,MADRID,ESPAÑA,80gaBeem1hnZ6_ZRCiPtSQ..
"OBRAS Y SERVICIOS GOMEZ CRESPO, S.L.",69349,A85720894,Servicios,MADRID,MADRID,ESPAÑA,lOkv1Bwy4zO64uiuA34hBA..
"OBRAS Y SERVICIOS GOMEZ CRESPO, S.L.",72562,A85788073,Obras,MADRID,MADRID,ESPAÑA,DLiuhE_2riuxt39azcCQpg..
"CONSTRUCCIONES DELFIN FERREIRO RODRIGUEZ, S.L.",72511,A85788073,Servicios,MADRID,MADRID,ESPAÑA,NbH1pxs48tbaf2giyTXdvg..
"CONSTRUCCIONES DELFIN FERREIRO RODRIGUEZ, S.L.",79662,A85951465,Servicios,MADRID,MADRID,ESPAÑA,24smjwxC68FEcks10WNH_g..
"CONSTRUCCIONES Y ALMACENES MANUEL VISO E HIJOS , S.L.",75035,A86025558,Servicios,MADRID,MADRID,ESPAÑA,QCOOgldIBCFFKxsxh2jkpg..
"AUTOCARES GONZALEZ, S.L.",77189,A86098118,Servicios,MADRID,MADRID,ESPAÑA,9G0V5CRDn1MM8-fPl8j_mA..
"CODIGALCO, S.L.",79871,A86219839,Obras,MADRID,MADRID,ESPAÑA,uHabOlkBUS0oi8fgdwmKRQ..
"HORDESCON, S.L.",76636,A86234788,Servicios,MADRID,MADRID,ESPAÑA,Oireg5-lsvefLhZju8QhGg..
"HORDESCON, S.L.",76392,A86405305,Servicios,MADRID,MADRID,ESPAÑA,9Me5pcu4GB1ARh_vQLkzNw..
"EXCAVACIONES AFREIJO, S.L.",77310,A86868114,Servicios,MADRID,MADRID,ESPAÑA,aXYQRfImCLgkNUe7xIJzQw..
"AUTOS A GONZALEZ, S.L.",80916,A87039582,Servicios,MADRID,MADRID,ESPAÑA,hvwqJkTEYrHSeqipVPsqrw..
"EMERGIS CONSTRUCCION, S.L.",80236,A87268116,Obras,MADRID,MADRID,ESPAÑA,aWFs3m_VH4r8hcWSVgtOHg..
PROTECCION VIAL SOCIEDAD LIMITADA,80332,A87268116,Servicios,MADRID,MADRID,ESPAÑA,hV1U4jWhk-4NXuYjL6Ly4A..
"CONSTRUCCIONES EMI-ALVAREZ, S.L.",81146,A88380035,Obras,MADRID,MADRID,ESPAÑA,EBIYVHZW2i2i3YR3W-0PmQ..
"CRUZVAL OBRAS Y SERVICIOS, S.L.",77658,A90050980,Servicios,MADRID,MADRID,ESPAÑA,2t7zJsQPAY-ppc0FnWunBw..
"CRUZVAL OBRAS Y SERVICIOS, S.L.",77421,A90050980,Obras,MADRID,MADRID,ESPAÑA,SjaFA-YP9Lz3u_FwN0mxNA..
"AOPIL, S.L.",81792,B01691096,Servicios,MADRID,MADRID,ESPAÑA,I3kHb5EFsmLVRzPPada-VQ..
"ALUMINIOS MANUEL MENDEZ, S.L.",81326,B01788041,Obras,MADRID,MADRID,ESPAÑA,7kDR0DFO3RgdDuimhKytzg..
"TECNOSERVICIO ORENSANO, S.L.",81327,B01788041,Servicios,MADRID,MADRID,ESPAÑA,_vMtWkjdpzMN5919ed7NvQ..
"TECNOSERVICIO ORENSANO, S.L.",82008,B02851335,Servicios,MADRID,MADRID,ESPAÑA,y-H11_A5wYzU0XjwHvrECw..
"TEFAR, S.L.",38507,B03243110,Servicios,MADRID,MADRID,ESPAÑA,1XPUGVH3wKeKQrPUk08Psg..
